"Property","PascalCase","MatchCount","Status"
"shorten","Shorten","8","Used"
"shorten-pair","ShortenPair","2","Mention"
"shortest-duration-space","ShortestDurationSpace","15","Used"
"shortest-playing-duration","ShortestPlayingDuration","0","Absent"
"shortest-starter-duration","ShortestStarterDuration","0","Absent"
"show-control-points","ShowControlPoints","0","Absent"
"show-horizontal-skylines","ShowHorizontalSkylines","0","Absent"
"show-vertical-skylines","ShowVerticalSkylines","0","Absent"
"side-axis","SideAxis","0","Absent"
"side-relative-direction","SideRelativeDirection","1","Mention"
"side-support-elements","SideSupportElements","0","Absent"
"size","Size","135","Used"
"skip-quanting","SkipQuanting","0","Absent"
"skyline-horizontal-padding","SkylineHorizontalPadding","0","Absent"
"skyline-vertical-padding","SkylineVerticalPadding","0","Absent"
"slash-negative-kern","SlashNegativeKern","0","Absent"
"slope","Slope","149","Used"
"slur","Slur","173","Used"
"slur-padding","SlurPadding","0","Absent"
"snap-radius","SnapRadius","0","Absent"
"space-alist","SpaceAlist","30","Used"
"space-increment","SpaceIncrement","0","Absent"
"space-to-barline","SpaceToBarline","2","Mention"
"spacing","Spacing","306","Used"
"spacing-increment","SpacingIncrement","23","Used"
"spacing-pair","SpacingPair","0","Absent"
"spacing-wishes","SpacingWishes","0","Absent"
"span-all-note-heads","SpanAllNoteHeads","0","Absent"
"span-start","SpanStart","0","Absent"
"spanner-broken","SpannerBroken","0","Absent"
"spanner-id","SpannerId","0","Absent"
"spanner-placement","SpannerPlacement","0","Absent"
"springs-and-rods","SpringsAndRods","0","Absent"
"stacking-dir","StackingDir","0","Absent"
"staff-affinity","StaffAffinity","9","Used"
"staff-grouper","StaffGrouper","14","Used"
"staff-padding","StaffPadding","49","Used"
"staff-position","StaffPosition","126","Used"
"staff-space","StaffSpace","12","Used"
"staff-staff-spacing","StaffStaffSpacing","12","Used"
"staff-symbol","StaffSymbol","3","Used"
"staffgroup-staff-spacing","StaffgroupStaffSpacing","8","Used"
"stem","Stem","409","Used"
"stem-attachment","StemAttachment","0","Absent"
"stem-begin-position","StemBeginPosition","0","Absent"
"stem-info","StemInfo","3","Used"
"stem-spacing-correction","StemSpacingCorrection","3","Used"
"stemlet-length","StemletLength","0","Absent"
"stems","Stems","51","Used"
"stencil","Stencil","3","Used"
"stencils","Stencils","0","Absent"
"sticky-host","StickyHost","0","Absent"
"strict-grace-spacing","StrictGraceSpacing","0","Absent"
"strict-note-spacing","StrictNoteSpacing","4","Used"
"stroke-style","StrokeStyle","0","Absent"
"stropha","Stropha","0","Absent"
"style","Style","81","Used"
"system-Y-offset","SystemYOffset","0","Absent"
"text","Text","662","Used"
"text-alignment-X","TextAlignmentX","0","Absent"
"text-alignment-Y","TextAlignmentY","0","Absent"
"text-direction","TextDirection","0","Absent"
"thick-thickness","ThickThickness","0","Absent"
"thickness","Thickness","81","Used"
"tie","Tie","156","Used"
"tie-configuration","TieConfiguration","1","Mention"
"ties","Ties","31","Used"
"time-signature","TimeSignature","78","Used"
